artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
Nathaniel Bassey,Olorun Agbaye - You Are Mighty,0gDyskuhux7JfUcGzn0gY9,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,436321,58,False,0.345,0.698,10,-6.186,1,0.0465,0.116,1.49e-06,0.348,0.188,123.922,3,"['Chandler Moore', 'Oba']"
Nathaniel Bassey,You Are God (feat. Chigozie Achugo),78D1ZERxVW4XvelhO1jG4K,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,271438,55,False,0.487,0.641,0,-4.704,1,0.0351,0.0501,1.66e-06,0.183,0.434,123.955,4,['Chigozie Achugo']
Nathaniel Bassey,Adonai,7axctArGc7dtaEJSl3IZge,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,511207,56,False,0.269,0.711,0,-5.951,0,0.0379,0.00366,0.00215,0.442,0.157,129.583,3,[]
Nathaniel Bassey,Olorun Agbaye - You Are Mighty,05o0RoSQ1pQFvHe54uFUZf,Olorun Agbaye - You Are Mighty,0bquI98KbNHqOrpGFXpNyS,2020-10-30,438744,49,False,0.346,0.696,10,-6.207,1,0.0464,0.116,1.31e-06,0.335,0.184,123.468,3,"['Chandler Moore', 'Oba']"
Nathaniel Bassey,Imela (feat. Enitan Adaba),50OHI0yJ1ti2jTWySMz6jY,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,354573,53,False,0.366,0.522,6,-8.552,1,0.0319,0.146,0.00051,0.12,0.325,150.101,4,['Enitan Adaba']
Nathaniel Bassey,See What the Lord Has Done,3BPPakEzZWw0pQQzuQfvBt,Names of God,3WCZbOcvzRlzyEnRVPtKQF,2022-02-05,454829,54,False,0.265,0.539,8,-7.433,1,0.0315,0.025,0.0,0.371,0.321,139.699,4,[]
Nathaniel Bassey,Yeshua Hamashiach,6xmcjy9fiHc5UZlUZDg5uy,The King Is Coming,1zi8tByoRTWt088vDbI6OG,2019-11-29,464306,52,False,0.551,0.886,9,-4.766,0,0.0578,0.0726,1.73e-05,0.0896,0.346,147.995,4,[]
Nathaniel Bassey,Onise Iyanu (feat. Micah Stampley),0S7l0Nz5MztXjkNTppknRp,This God Is Too Good,5RCbwQMe3LwArxqneTQMTg,2016-10-03,366498,52,False,0.284,0.796,7,-4.604,1,0.0504,0.203,0.0,0.391,0.309,144.214,4,['Micah Stampley']
Nathaniel Bassey,Tobechukwu - Live,79zFqU5mmz9wnuKfjaiPJp,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,488339,53,False,0.425,0.715,10,-6.247,1,0.0733,0.381,0.0,0.0956,0.686,75.374,4,['MERCY CHINWO BLESSED']
Nathaniel Bassey,Ebenezer - Live,1NIsNb7J8yfy9TYE1ycKMp,HALLELUJAH LIVE,5xe3knii9RbZzikwkiIqBY,2023-03-24,511197,53,False,0.544,0.858,7,-4.976,1,0.0454,0.156,0.0,0.47,0.48,143.979,3,['VICTORIA ORENZE']
